[00:01:32 -> 00:01:32]  It's coming back.
[01:18:33 -> 01:18:34]  let me go to the screen.
[01:18:36 -> 01:18:36]  Can I,
[01:18:36 -> 01:18:37]  can I stand right here?
[01:18:45 -> 01:18:47]  Bonus fire damage.
[01:18:49 -> 01:18:49]  Okay.
[01:18:50 -> 01:18:50]  Um,
[01:18:51 -> 01:18:51]  I've never,
[01:18:51 -> 01:18:52]  I've never,
[01:18:52 -> 01:18:55]  I've never gone through this before with you,
[01:18:55 -> 01:18:55]  Bobby,
[01:18:55 -> 01:18:55]  but,
[01:18:56 -> 01:18:56]  um,
[01:18:56 -> 01:18:57]  this is,
[01:18:57 -> 01:18:58]  this is the process through,
[01:18:58 -> 01:19:00]  which I have my attacks.
[01:19:01 -> 01:19:01]  Um,
[01:19:01 -> 01:19:03]  I have,
[01:19:03 -> 01:19:04]  um,
[01:19:05 -> 01:19:05]  I,
[01:19:05 -> 01:19:06]  these are both light weapons.
[01:19:07 -> 01:19:08]  Um,
[01:19:08 -> 01:19:08]  so I,
[01:19:08 -> 01:19:09]  I'm double,
[01:19:09 -> 01:19:09]  double wielding,
[01:19:09 -> 01:19:10]  uh,
[01:19:10 -> 01:19:10]  two scimitars.
[01:19:11 -> 01:19:11]  Um,
[01:19:11 -> 01:19:12]  they're both light weapons.
[01:19:12 -> 01:19:13]  So that means I can attack,
[01:19:13 -> 01:19:14]  uh,
[01:19:15 -> 01:19:15]  once with,
[01:19:15 -> 01:19:16]  uh,
[01:19:16 -> 01:19:18]  my regular attack and then once with my bonus attack,
[01:19:18 -> 01:19:20]  but I just use my bonus attack with,
[01:19:20 -> 01:19:21]  for hex.
[01:19:21 -> 01:19:22]  So I can't do that this turn.
[01:19:23 -> 01:19:23]  Um,
[01:19:23 -> 01:19:25]  but I have the,
[01:19:25 -> 01:19:28]  I have the weapon mastery with scimitar,
[01:19:28 -> 01:19:30]  from my barred subclass.
[01:19:30 -> 01:19:33]  That means I have the weapon mastery of Nick,
[01:19:33 -> 01:19:39]  and that allows me to essentially turn that extra attack into like a,
[01:19:40 -> 01:19:41]  into like a regular attack.
[01:19:41 -> 01:19:41]  So I have,
[01:19:45 -> 01:19:45]  I,
[01:19:45 -> 01:19:46]  I,
[01:19:47 -> 01:19:47]  yeah,
[01:19:47 -> 01:19:47]  yeah.
[01:19:47 -> 01:19:48]  And I,
[01:19:48 -> 01:19:48]  it's,
[01:19:48 -> 01:19:48]  since it's,
[01:19:48 -> 01:19:49]  uh,
[01:19:49 -> 01:19:49]  since it's,
[01:19:49 -> 01:19:50]  uh,
[01:19:50 -> 01:19:50]  uh,
[01:19:50 -> 01:19:51]  okay.
[01:19:51 -> 01:19:53]  I'm just trying to double check out and make sure I know that working
[01:19:53 -> 01:19:54]  Nick's Nick says,
[01:19:54 -> 01:19:57]  when you make the extra attack of the light property,
[01:19:57 -> 01:20:01]  you can make it as part of the attack action instead of as a bonus.
[01:20:01 -> 01:20:01]  Action.
[01:20:02 -> 01:20:03]  So typically,
[01:20:03 -> 01:20:03]  um,
[01:20:03 -> 01:20:05]  if I didn't cast my hex,
[01:20:05 -> 01:20:07]  I would have three attacks with my scimitar.
[01:20:08 -> 01:20:09]  Um,
[01:20:09 -> 01:20:11]  since I casted my hex,
[01:20:11 -> 01:20:13]  I only have two attacks with my scimitar.
[01:20:13 -> 01:20:14]  Does that make sense?
[01:20:19 -> 01:20:19]  Yeah,
[01:20:19 -> 01:20:19]  I know.
[01:20:19 -> 01:20:20]  It's like,
[01:20:20 -> 01:20:21]  it's not showing up.
[01:20:21 -> 01:20:23]  It's supposed to show up when you hop,
[01:20:23 -> 01:20:26]  when you hover over the weapon in my character sheet.
[01:20:26 -> 01:20:27]  Um,
[01:20:27 -> 01:20:30]  but right now the only thing you can see is this little red,
[01:20:30 -> 01:20:31]  this red star.
[01:20:31 -> 01:20:32]  Yeah.
[01:20:32 -> 01:20:34]  And then you'll see in the note.
[01:20:34 -> 01:20:34]  Yeah.
[01:20:34 -> 01:20:35]  So there's,
[01:20:35 -> 01:20:38]  there's a few different properties that are intersecting here.
[01:20:38 -> 01:20:38]  Sorry.
[01:20:38 -> 01:20:39]  I'm just doing this all in my turn,
[01:20:40 -> 01:20:40]  by the way,
[01:20:40 -> 01:20:40]  but,
[01:20:40 -> 01:20:41]  um,
[01:20:41 -> 01:20:41]  it's,
[01:20:41 -> 01:20:46]  it's a light attack property that is always exists for when you're
[01:20:46 -> 01:20:46]  doing two handed.
[01:20:46 -> 01:20:47]  So I'm doing a two,
[01:20:47 -> 01:20:48]  two weapon,
[01:20:48 -> 01:20:48]  two weapon fighting.
[01:20:49 -> 01:20:50]  I have two weapon,
[01:20:50 -> 01:20:51]  um,
[01:20:51 -> 01:20:52]  fighting style.
[01:20:52 -> 01:20:52]  So that,
[01:20:52 -> 01:20:54]  that lets me add my,
[01:20:54 -> 01:20:55]  uh,
[01:20:55 -> 01:20:57]  my proficiency to my damage roles,
[01:20:57 -> 01:20:58]  I think.
[01:20:58 -> 01:21:03]  And then the Nick property is the mastery that lets me attack again,
[01:21:03 -> 01:21:03]  basically.
[01:21:03 -> 01:21:04]  So when I'm,
[01:21:04 -> 01:21:06]  when I'm maxed out as this character,
[01:21:07 -> 01:21:08]  I should have like four,
[01:21:08 -> 01:21:09]  four attacks.
[01:21:20 -> 01:21:20]  Yeah.
[01:21:20 -> 01:21:21]  So that's,
[01:21:21 -> 01:21:22]  that's traditionally.
[01:21:22 -> 01:21:24]  So traditionally you would only have three,
[01:21:24 -> 01:21:25]  like one,
[01:21:25 -> 01:21:25]  once you,
[01:21:25 -> 01:21:27]  you would have essentially like another attack.
[01:21:27 -> 01:21:27]  Like you,
[01:21:27 -> 01:21:30]  you attack once with your main hand and then once with your bonus
[01:21:30 -> 01:21:30]  attack,
[01:21:31 -> 01:21:31]  the Nick,
[01:21:32 -> 01:21:36]  the Nick prop mastery moves that bonus attack to like a weird,
[01:21:36 -> 01:21:38]  like non bonus attack.
[01:21:42 -> 01:21:43]  Yeah.
[01:21:44 -> 01:21:44]  Yeah.
[01:21:45 -> 01:21:46]  Yeah.
[01:21:51 -> 01:21:51]  Two attacks.
[01:21:51 -> 01:21:52]  Yeah.
[01:21:52 -> 01:21:55]  This essentially it's it's it's I think it's there was a way to make two
[01:21:55 -> 01:21:58]  weapon fighting a little bit better in the new edition.
[01:21:59 -> 01:22:00]  So it's a little bit,
[01:22:00 -> 01:22:02]  it's a little bit catch up cause I it's low damage,
[01:22:02 -> 01:22:03]  but it can do it.
[01:22:03 -> 01:22:04]  So what I'm,
[01:22:04 -> 01:22:07]  what essentially I'm trying to do is I'm trying to stack the hex damage
[01:22:07 -> 01:22:11]  with as many weapon attacks as I can muster in a single turn.
[01:22:12 -> 01:22:13]  Um,
[01:22:13 -> 01:22:14]  okay.
[01:22:15 -> 01:22:15]  Okay.
[01:22:15 -> 01:22:16]  Perfect.
[01:22:16 -> 01:22:19]  And then the last thing I apologize for so many things,
[01:22:19 -> 01:22:21]  if I make a successful attack,
[01:22:21 -> 01:22:23]  then I can use my bard,
[01:22:23 -> 01:22:25]  my sword barred like spells.
[01:22:25 -> 01:22:31]  I can use my bardic inspiration to add whatever flourish that I want.
[01:22:32 -> 01:22:33]  Like I have the defensive flourish,
[01:22:33 -> 01:22:34]  mobile portion sounds.
[01:22:34 -> 01:22:34]  Okay.
[01:22:34 -> 01:22:35]  Thank you.
[01:22:35 -> 01:22:35]  Thanks.
[01:22:35 -> 01:22:35]  Sorry.
[01:22:35 -> 01:22:36]  Sorry.
[01:22:36 -> 01:22:36]  I know there's a lot.
[01:22:44 -> 01:22:44]  Yes.
[01:22:44 -> 01:22:45]  Yeah.
[01:22:45 -> 01:22:46]  I'm keeping track of everything.
[01:22:46 -> 01:22:49]  Okay.
[01:22:49 -> 01:22:49]  Perfect.
[01:22:49 -> 01:22:50]  Okay.
[01:22:50 -> 01:22:51]  So I have similar to,
[01:22:51 -> 01:22:53]  I'll do my first attack for the seminar.
[01:22:57 -> 01:22:58]  It's a 14.
[01:23:00 -> 01:23:01]  Shit.
[01:23:01 -> 01:23:01]  Okay.
[01:23:03 -> 01:23:03]  Then,
[01:23:04 -> 01:23:04]  uh,
[01:23:08 -> 01:23:08]  Oh,
[01:23:08 -> 01:23:09]  my flourishes doesn't matter.
[01:23:09 -> 01:23:10]  I don't have to hit them.
[01:23:10 -> 01:23:11]  Right.
[01:23:11 -> 01:23:11]  I can still,
[01:23:13 -> 01:23:14]  Oh no,
[01:23:14 -> 01:23:14]  I have to,
[01:23:15 -> 01:23:16]  I have to hit them.
[01:23:16 -> 01:23:16]  Nevermind.
[01:23:17 -> 01:23:17]  I have to hit.
[01:23:17 -> 01:23:18]  Nevermind.
[01:23:18 -> 01:23:18]  Nevermind.
[01:23:19 -> 01:23:19]  It might,
[01:23:19 -> 01:23:21]  my walking speed increases no matter what,
[01:23:21 -> 01:23:22]  but,
[01:23:22 -> 01:23:22]  um,
[01:23:22 -> 01:23:23]  I have to hit them.
[01:23:23 -> 01:23:23]  Okay.
[01:23:23 -> 01:23:24]  I'll,
[01:23:24 -> 01:23:25]  I'm going to go for the second stack here.
[01:23:28 -> 01:23:29]  I got a 14 again.
[01:23:31 -> 01:23:32]  Cool.
[01:23:36 -> 01:23:37]  Yep.
[01:23:37 -> 01:24:12]  I'm putting this here.
[01:26:24 -> 01:26:26]  The battlefield is very symmetrical right now.
[01:26:26 -> 01:26:27]  I kind of like it.
[01:27:47 -> 01:27:48]  It's just like a flavor.
[01:27:48 -> 01:27:48]  Thing,
[01:27:48 -> 01:27:49]  Matt.
[01:27:49 -> 01:27:49]  Like,
[01:27:49 -> 01:27:50]  um,
[01:27:50 -> 01:27:51]  so it's like,
[01:27:51 -> 01:27:52]  you're still using spell slots,
[01:27:52 -> 01:27:57]  but you're saying that it's yeah.
[01:27:57 -> 01:27:57]  Yeah.
[01:29:28 -> 01:29:29]  Yeah.
[01:31:30 -> 01:31:32]  I'm also reading all of your guys's like spell sheets.
[01:32:18 -> 01:32:19]  That's good though.
[01:32:19 -> 01:32:20]  Isn't that,
[01:32:20 -> 01:32:21]  doesn't it make it easier for you?
[01:32:21 -> 01:32:23]  Cause you don't have to waste action on it.
[01:32:28 -> 01:32:28]  Oh,
[01:32:28 -> 01:32:29]  Oh,
[01:32:29 -> 01:32:30]  it's actually okay.
[01:32:30 -> 01:32:30]  Sorry.
[01:32:30 -> 01:32:30]  Sorry.
[01:32:30 -> 01:32:30]  Okay.
[01:32:30 -> 01:32:31]  Okay.
[01:32:31 -> 01:32:47]  My,
[01:32:47 -> 01:32:48]  my holy shit.
[01:33:38 -> 01:33:39]  I see.
[01:33:39 -> 01:33:41]  And you do have a shield.
[01:34:17 -> 01:34:17]  Dang.
[01:34:17 -> 01:34:19]  He also has SAP on that war pick.
[01:34:20 -> 01:34:20]  Yes.
[01:34:20 -> 01:34:35]  That there's that mastery before.
[01:34:37 -> 01:34:37]  Yeah.
[01:34:57 -> 01:34:57]  Bobby does,
[01:34:57 -> 01:34:57]  does she,
[01:34:57 -> 01:35:00]  does she still look like she does to us at the start?
[01:35:00 -> 01:35:02]  Or is she completely different?
[01:35:12 -> 01:35:13]  Yeah.
[01:35:25 -> 01:35:25]  Is,
[01:35:25 -> 01:35:28]  is witty and didn't like still sexually attracted to her.
[01:35:57 -> 01:35:58]  I think it's just one from what it says.
[01:35:58 -> 01:36:01]  It says if you hit a creature with a war pick that creature has
[01:36:01 -> 01:36:04]  disadvantage on its next attack role before the start of your next turn.
[01:36:40 -> 01:36:41]  What does Moomdean do again?
[01:38:50 -> 01:38:51]  It's really interesting.
[01:38:51 -> 01:39:10]  Interesting.
[01:39:24 -> 01:39:25]  But does that,
[01:39:25 -> 01:39:26]  does that work?
[01:39:26 -> 01:39:26]  Like if you,
[01:39:27 -> 01:39:28]  if you only attack once during your turn?
[01:39:44 -> 01:39:45]  Oh,
[01:39:45 -> 01:39:45]  okay.
[01:39:45 -> 01:39:46]  Can you,
[01:39:46 -> 01:39:46]  can you like,
[01:39:47 -> 01:39:48]  can you,
[01:39:48 -> 01:39:50]  can you dual wield hand crossbows?
[01:39:50 -> 01:40:01]  Okay.
[01:40:01 -> 01:40:01]  Okay.
[01:40:01 -> 01:40:02]  Okay.
[01:40:02 -> 01:40:02]  Good.
[01:40:02 -> 01:40:02]  Yeah.
[01:40:04 -> 01:40:04]  No.
[01:40:04 -> 01:40:04]  Yeah.
[01:40:04 -> 01:40:05]  That seems really useful.
[01:40:06 -> 01:40:07]  Cause if you do have dual then,
[01:40:13 -> 01:40:13]  Oh yeah.
[01:40:18 -> 01:40:19]  It's a bonus action.
[01:40:21 -> 01:40:21]  Yeah.
[01:40:36 -> 01:40:38]  It's a damage one D six,
[01:40:38 -> 01:40:39]  right?
[01:40:42 -> 01:40:42]  Yeah.
[01:40:42 -> 01:40:42]  That's,
[01:40:43 -> 01:40:45]  that's the only like good thing about Rangers.
[01:40:45 -> 01:40:45]  I thought.
[01:40:51 -> 01:40:51]  Yeah.
[01:41:06 -> 01:41:08]  Rules as written rules as written.
[01:41:41 -> 01:41:41]  We,
[01:41:41 -> 01:41:43]  we used to be so much slower and like,
[01:41:44 -> 01:41:46]  now we're like marginally a bit faster now.
[01:41:54 -> 01:41:54]  Yeah.
[01:42:00 -> 01:42:01]  I,
[01:42:01 -> 01:42:04]  I think Mark's turns were the funniest last campaign.
[01:42:04 -> 01:42:04]  Cause I,
[01:42:04 -> 01:42:08]  we would have to roll 20 different things to get his little bonus.
[01:42:09 -> 01:42:36]  That was crazy.
[01:43:04 -> 01:43:05]  Okay.
[01:43:05 -> 01:43:06]  Um,
[01:43:06 -> 01:43:07]  I will,
[01:43:07 -> 01:43:08]  as my bonus action,
[01:43:08 -> 01:43:12]  I will cast healing word on my dear friend,
[01:43:12 -> 01:43:16]  Alara and the healing word is like,
[01:43:16 -> 01:43:17]  uh,
[01:43:17 -> 01:43:20]  I literally want to say to her while I'm healing her,
[01:43:20 -> 01:43:20]  I was like,
[01:43:20 -> 01:43:25]  you please trust me about Edward.
[01:43:27 -> 01:43:27]  Okay.
[01:43:29 -> 01:43:30]  Okay.
[01:43:30 -> 01:43:39]  I did a second level,
[01:43:39 -> 01:43:39]  but I guess that's fine.
[01:43:39 -> 01:43:40]  Yeah.
[01:43:40 -> 01:43:41]  I'll just do a second level.
[01:43:49 -> 01:43:50]  Yeah.
[01:43:50 -> 01:43:54]  And she has a renewed level of trust in Baradun also from.
[01:44:01 -> 01:44:02]  Okay.
[01:44:05 -> 01:44:06]  I'm going to do my,
[01:44:07 -> 01:44:09]  my double a similar attack now.
[01:44:13 -> 01:44:13]  Okay.
[01:44:13 -> 01:44:15]  I'm only getting four teens now.
[01:44:15 -> 01:44:19]  So apparently that 16,
[01:44:21 -> 01:44:22]  thank God.
[01:44:22 -> 01:44:22]  Okay.
[01:44:22 -> 01:44:23]  I'm going to,
[01:44:23 -> 01:44:25]  I'm going to also cast my flourish.
[01:44:25 -> 01:44:27]  So I'm going to,
[01:44:27 -> 01:44:28]  uh,
[01:44:33 -> 01:44:35]  ideal extra damage with my bardic inspiration.
[01:44:35 -> 01:44:37]  And I add that to my AC.
[01:44:39 -> 01:44:40]  Um,
[01:44:40 -> 01:44:41]  yeah,
[01:44:41 -> 01:44:42]  yeah,
[01:44:42 -> 01:44:42]  yeah.
[01:44:43 -> 01:44:44]  One D six.
[01:44:45 -> 01:44:45]  Um,
[01:44:45 -> 01:44:46]  I don't know the order.
[01:44:46 -> 01:44:47]  Should I do this?
[01:44:47 -> 01:44:48]  Like I got a five there.
[01:44:49 -> 01:44:49]  Um,
[01:44:50 -> 01:44:53]  so five damage and then I'm rolling my scimitar damage here.
[01:44:56 -> 01:44:58]  So seven plus five,
[01:44:58 -> 01:44:58]  12.
[01:44:58 -> 01:44:58]  Okay.
[01:44:58 -> 01:44:58]  Okay.
[01:44:58 -> 01:44:58]  Okay.
[01:44:58 -> 01:44:58]  Okay.
[01:44:58 -> 01:44:58]  Okay.
[01:44:58 -> 01:44:59]  Okay.
[01:44:59 -> 01:44:59]  Okay.
[01:44:59 -> 01:44:59]  Okay.
[01:44:59 -> 01:44:59]  Okay.
[01:44:59 -> 01:44:59]  Okay.
[01:44:59 -> 01:44:59]  Okay.
[01:44:59 -> 01:44:59]  Okay.
[01:44:59 -> 01:44:59]  Okay.
[01:44:59 -> 01:44:59]  Okay.
[01:44:59 -> 01:44:59]  Okay.
[01:45:00 -> 01:45:00]  Okay.
[01:45:00 -> 01:45:00]  Okay.
[01:45:00 -> 01:45:00]  Okay.
[01:45:00 -> 01:45:00]  Okay.
[01:45:00 -> 01:45:00]  Okay.
[01:45:01 -> 01:45:01]  Perfect.
[01:45:04 -> 01:45:04]  Uh,
[01:45:04 -> 01:45:06]  I'm standing right in front of her.
[01:45:08 -> 01:45:28]  It was,
[01:45:28 -> 01:45:28]  it was the trust.
[01:45:29 -> 01:45:29]  It was,
[01:45:30 -> 01:45:33]  it was the trust instilled in her that boosted it up to 24.
[01:45:38 -> 01:45:39]  It might have to upgrade like the,
[01:45:40 -> 01:45:40]  uh,
[01:45:40 -> 01:45:40]  your,
[01:45:40 -> 01:45:41]  your page.
[01:45:47 -> 01:45:51]  It shows,
[01:45:51 -> 01:45:51]  it shows 13.
[01:45:51 -> 01:45:52]  I had to,
[01:45:52 -> 01:45:52]  I had to update.
[01:45:52 -> 01:45:54]  I had to update the webpage,
[01:45:54 -> 01:45:55]  reload the webpage.
[01:45:55 -> 01:45:55]  I mean,
[01:46:21 -> 01:46:22]  I'm so sorry,
[01:46:22 -> 01:46:23]  uh,
[01:46:23 -> 01:46:23]  Bobby,
[01:46:23 -> 01:46:23]  I,
[01:46:23 -> 01:46:25]  I totally forgot about the hex that's still on her.
[01:46:26 -> 01:46:26]  So,
[01:46:26 -> 01:46:26]  uh,
[01:46:26 -> 01:46:30]  let me just roll it real quick.
[01:46:30 -> 01:46:31]  It's two,
[01:46:31 -> 01:46:33]  two damage of psychic.
[01:46:33 -> 01:54:46]  So funny.
[01:56:56 -> 01:56:57]  Nice.
[01:56:57 -> 01:56:57]  Okay.
[01:57:59 -> 01:58:00]  Sorry.
[01:58:01 -> 01:58:01]  Sorry.
[01:58:04 -> 01:58:04]  I'm sorry.
[01:58:05 -> 01:58:06]  That was me.
[01:58:06 -> 01:58:07]  It was my fault.
[01:58:07 -> 01:58:07]  My fault.
[01:58:07 -> 01:58:07]  I'm sorry.
[01:58:09 -> 01:58:12]  Sorry.
[01:58:12 -> 01:58:12]  Sorry.
[01:58:12 -> 01:58:13]  Sorry.
[01:58:33 -> 01:58:34]  Nice.
[01:59:04 -> 01:59:05]  I thought it's a,
[01:59:05 -> 01:59:06]  it's a concentration.
[01:59:06 -> 01:59:07]  I thought it's not a concentration.
[01:59:13 -> 01:59:14]  Well,
[01:59:14 -> 01:59:15]  unless you,
[01:59:15 -> 01:59:20]  yeah,
[01:59:23 -> 01:59:24]  it's like,
[01:59:25 -> 01:59:26]  yeah,
[01:59:26 -> 01:59:38]  I think it's 10.
[01:59:42 -> 01:59:42]  Yeah.
[01:59:42 -> 01:59:42]  Yeah.
[01:59:43 -> 01:59:53]  Let's go.
[01:59:57 -> 01:59:57]  Nice.
[02:00:07 -> 02:00:08]  Okay.
[02:00:31 -> 02:00:32]  That one has like a count.
[02:00:35 -> 02:00:36]  You have two of them.
[02:01:10 -> 02:01:10]  Twice.
[02:01:13 -> 02:01:14]  No,
[02:01:14 -> 02:01:16]  you can only twice per long rest.
[02:01:38 -> 02:01:41]  There's a tracker on your character sheet for dreadful strike.
[02:01:43 -> 02:01:43]  Okay.
[02:01:44 -> 02:01:44]  Yeah.
[02:01:49 -> 02:01:49]  All right.
[02:01:50 -> 02:01:50]  We're going,
[02:01:51 -> 02:01:51]  uh,
[02:01:51 -> 02:01:52]  I'm twirling up my,
[02:01:52 -> 02:01:53]  my blades again.
[02:01:54 -> 02:01:54]  Um,
[02:01:54 -> 02:01:56]  I don't have to heal anyone.
[02:01:56 -> 02:01:59]  So I'm going to go straight up into three attacks.
[02:02:00 -> 02:02:00]  On,
[02:02:00 -> 02:02:00]  on her.
[02:02:01 -> 02:02:02]  Uh,
[02:02:02 -> 02:02:02]  okay.
[02:02:02 -> 02:02:03]  So I'm just going to do it.
[02:02:05 -> 02:02:05]  Uh,
[02:02:08 -> 02:02:10]  can I just like hit this three times?
[02:02:10 -> 02:02:14]  Like 15,
[02:02:15 -> 02:02:19]  18 and 16.
[02:02:23 -> 02:02:23]  Okay.
[02:02:24 -> 02:02:25]  Um,
[02:02:29 -> 02:02:29]  uh,
[02:02:29 -> 02:02:30]  I'm going to use another,
[02:02:30 -> 02:02:31]  uh,
[02:02:31 -> 02:02:33]  defensive flourish for one of them.
[02:02:35 -> 02:02:35]  Um,
[02:02:35 -> 02:02:35]  okay.
[02:02:35 -> 02:02:36]  Let me,
[02:02:36 -> 02:02:37]  let me do the attacks first.
[02:02:37 -> 02:02:37]  Uh,
[02:02:37 -> 02:02:38]  okay.
[02:02:38 -> 02:02:41]  Attack damage is nine.
[02:02:41 -> 02:02:44]  And then the defensive hit,
[02:02:44 -> 02:02:44]  uh,
[02:02:44 -> 02:02:46]  flourish is one D six.
[02:02:46 -> 02:02:49]  So that's two,
[02:02:49 -> 02:02:50]  uh,
[02:02:50 -> 02:02:52]  11 damage for one of the attacks.
[02:02:53 -> 02:02:54]  And,
[02:02:54 -> 02:02:55]  um,
[02:02:55 -> 02:02:56]  uh,
[02:02:57 -> 02:02:57]  and sorry,
[02:02:58 -> 02:02:58]  phantom hex too.
[02:02:58 -> 02:02:59]  Sorry.
[02:02:59 -> 02:02:59]  I have to do that one.
[02:03:00 -> 02:03:00]  Okay.
[02:03:02 -> 02:03:02]  Okay.
[02:03:03 -> 02:03:03]  Uh,
[02:03:03 -> 02:03:05]  13 damage for attack one.
[02:03:05 -> 02:03:08]  And then I will do a second attack.
[02:03:10 -> 02:03:13]  It's four plus phantom hex.
[02:03:13 -> 02:03:13]  Again,
[02:03:13 -> 02:03:16]  seven damage for the second attack.
[02:03:26 -> 02:03:27]  Yeah.
[02:03:27 -> 02:03:28]  Seven for the,
[02:03:28 -> 02:03:32]  uh,
[02:03:32 -> 02:03:32]  what did I say?
[02:03:32 -> 02:03:34]  The first one was 13 and seven.
[02:03:39 -> 02:03:40]  Oh yeah.
[02:03:40 -> 02:03:40]  I'm sorry.
[02:03:41 -> 02:03:41]  I I'm,
[02:03:41 -> 02:03:42]  I'm looking at the dice and I'm not looking.
[02:03:42 -> 02:03:43]  Okay.
[02:03:43 -> 02:03:43]  You're right.
[02:03:43 -> 02:03:45]  It is 10 for the second attack.
[02:03:45 -> 02:03:45]  Yeah.
[02:03:54 -> 02:03:54]  Yeah.
[02:03:55 -> 02:03:55]  Yeah.
[02:03:56 -> 02:03:57]  I have 16 now.
[02:03:57 -> 02:03:58]  Yeah.
[02:04:08 -> 02:04:08]  Um,
[02:04:08 -> 02:04:09]  no,
[02:04:09 -> 02:04:09]  I'll,
[02:04:09 -> 02:04:09]  I'll stick.
[02:04:10 -> 02:04:10]  I'll,
[02:04:10 -> 02:04:10]  I'll,
[02:04:10 -> 02:04:11]  I'll,
[02:04:11 -> 02:04:11]  I'll,
[02:04:11 -> 02:04:11]  I'll move.
[02:04:12 -> 02:04:12]  If I,
[02:04:12 -> 02:04:14]  if I move slightly like South of her,
[02:04:14 -> 02:04:15]  will that trigger an attack?
[02:04:16 -> 02:04:16]  Okay.
[02:04:16 -> 02:04:16]  Okay.
[02:04:17 -> 02:04:17]  As long as I don't,
[02:04:17 -> 02:04:18]  I'll leave.
[02:04:19 -> 02:04:20]  Okay.
[02:04:22 -> 02:04:22]  Okay.
[02:04:23 -> 02:04:24]  I'll try to move it a little bit.
[02:04:24 -> 02:04:24]  So,
[02:04:24 -> 02:04:25]  okay.
[02:04:25 -> 02:04:26]  That's perfect.
[02:04:51 -> 02:04:54]  What if you are already a blind character?
[02:04:54 -> 02:04:55]  Like what would,
[02:04:56 -> 02:05:01]  like a,
[02:05:01 -> 02:05:03]  like a daredevil character?
[02:05:20 -> 02:06:27]  Yeah,
[02:06:27 -> 02:06:28]  it sucks.
[02:06:42 -> 02:06:43]  You can,
[02:06:43 -> 02:06:43]  you,
[02:06:43 -> 02:06:44]  you can also like,
[02:06:44 -> 02:06:45]  uh,
[02:06:45 -> 02:06:47]  add cantrips that are damaged cantrips.
[02:06:47 -> 02:06:48]  Um,
[02:06:48 -> 02:06:50]  and that will,
[02:06:51 -> 02:06:53]  yeah.
[02:06:54 -> 02:06:55]  And you can like,
[02:06:55 -> 02:06:56]  you can attack,
[02:06:56 -> 02:06:57]  you can throw your dagger too,
[02:06:57 -> 02:06:58]  or something like,
[02:07:45 -> 02:07:46]  okay,
[02:07:46 -> 02:07:47]  good.
[02:07:47 -> 02:07:50]  I like it.
[02:07:50 -> 02:07:52]  Try to look for the cone overlay.
[02:07:52 -> 02:07:53]  If that exists.
[02:07:54 -> 02:07:55]  Oh,
[02:07:55 -> 02:07:55]  line overlay.
[02:07:55 -> 02:08:14]  Sorry.
[02:08:14 -> 02:08:22]  Acid.
[02:09:06 -> 02:09:07]  I should have chosen.
[02:09:11 -> 02:09:12]  Okay.
[02:09:12 -> 02:09:13]  It's okay.
[02:09:14 -> 02:09:15]  Yeah.
[02:09:46 -> 02:11:32]  Yeah.
[02:11:32 -> 02:11:33]  On me,
[02:11:33 -> 02:11:36]  on me.
[02:11:36 -> 02:11:37]  Uh,
[02:11:37 -> 02:11:37]  can I,
[02:11:37 -> 02:11:37]  can I,
[02:11:37 -> 02:11:38]  um,
[02:11:38 -> 02:11:40]  can I cast a silvery,
[02:11:40 -> 02:11:41]  silvery barbs?
[02:11:41 -> 02:11:42]  To,
[02:11:42 -> 02:11:43]  uh,
[02:11:43 -> 02:11:44]  to reroll one of them?
[02:11:44 -> 02:11:46]  Yeah.
[02:11:46 -> 02:11:47]  Yeah.
[02:11:47 -> 02:11:48]  I have,
[02:11:48 -> 02:11:49]  I have,
[02:11:49 -> 02:11:58]  I have one spell slot.
[02:11:58 -> 02:11:59]  I have two spell slots left.
[02:11:59 -> 02:12:00]  It's probably too OP,
[02:12:00 -> 02:12:01]  but yeah,
[02:12:01 -> 02:12:02]  I'm only using it for this situation.
[02:12:02 -> 02:12:09]  Well,
[02:12:09 -> 02:12:10]  I mean,
[02:12:10 -> 02:12:11]  actually,
[02:12:11 -> 02:12:12]  what's what,
[02:12:12 -> 02:12:13]  what's up to you,
[02:12:13 -> 02:12:18]  Bobby?
[02:12:18 -> 02:12:26]  Do you,
[02:12:26 -> 02:12:27]  do you want to,
[02:12:27 -> 02:12:28]  do you want to play with silvery bomb?
[02:12:28 -> 02:12:29]  Okay.
[02:12:29 -> 02:12:46]  No,
[02:12:46 -> 02:12:47]  no,
[02:12:47 -> 02:12:48]  whatever,
[02:12:48 -> 02:12:49]  whatever,
[02:12:49 -> 02:12:50]  whatever makes sense in your head in terms of balance.
[02:12:50 -> 02:12:51]  Yeah.
[02:12:51 -> 02:12:52]  Okay.
[02:12:52 -> 02:13:15]  Now I would,
[02:13:15 -> 02:13:16]  that doesn't hit,
[02:13:16 -> 02:13:17]  but the other one hit,
[02:13:17 -> 02:13:23]  right?
[02:13:23 -> 02:13:24]  Okay.
[02:13:24 -> 02:13:25]  Okay.
[02:13:25 -> 02:13:28]  Okay.
[02:13:28 -> 02:13:31]  I have no more reactions.
[02:13:31 -> 02:13:32]  Yeah.
[02:13:32 -> 02:13:39]  Yeah.
[02:13:39 -> 02:13:40]  Uh,
[02:13:40 -> 02:13:41]  myself,
[02:13:41 -> 02:13:44]  I'll give it to myself.
